playerName,team_name,label,date,possessionValue.pvValue,possessionValue.pvAdded
A. Abdullahi,Novi Pazar,Napredak vs Novi Pazar,2025-07-27,0.45137330000000003,0.29869429999999997
A. Abdullahi,Novi Pazar,Novi Pazar vs Crvena zvezda,2025-08-31,0.0008018,-0.0017022
A. Abdullahi,Novi Pazar,Novi Pazar vs IMT Novi Beograd,2025-08-04,0.3156544,0.10172529999999999
A. Abdullahi,Novi Pazar,Novi Pazar vs Radnik Surdulica,2025-08-16,0.3317278,0.2662715
A. Abdullahi,Novi Pazar,Radnički Niš vs Novi Pazar,2025-08-10,0.1265119,0.064283
A. Abdullahi,Novi Pazar,Spartak Subotica vs Novi Pazar,2025-08-24,0.0333003,0.004014500000000002
A. Avdić,Crvena zvezda,Crvena zvezda vs TSC,2025-08-09,0.0732155,0.0296875
A. Avdić,Crvena zvezda,Mladost Lučani vs Crvena zvezda,2025-08-15,0.4823015,0.1540836
A. Avdić,Crvena zvezda,Novi Pazar vs Crvena zvezda,2025-08-31,0.0435646,0.0036628999999999984
A. Batisse,IMT Novi Beograd,IMT Novi Beograd vs Radnički Kragujevac,2025-08-24,0.0756624,0.0601392
A. Batisse,IMT Novi Beograd,IMT Novi Beograd vs Čukarički,2025-07-27,0.1491381,0.0653564
A. Batisse,IMT Novi Beograd,IMT Novi Beograd vs Železničar Pančevo,2025-08-11,0.0963366,-0.06662599999999999
A. Batisse,IMT Novi Beograd,Mladost Lučani vs IMT Novi Beograd,2025-07-20,0.2041903,0.0743873
A. Batisse,IMT Novi Beograd,Novi Pazar vs IMT Novi Beograd,2025-08-04,0.24809130000000001,0.10441550000000001
A. Batisse,IMT Novi Beograd,Partizan vs IMT Novi Beograd,2025-08-18,0.2119349,0.1347641
A. Cissé,Novi Pazar,Novi Pazar vs Crvena zvezda,2025-08-31,0.2205598,0.0855189
A. Cissé,Novi Pazar,Novi Pazar vs IMT Novi Beograd,2025-08-04,0.2136903,0.1053311
A. Cissé,Novi Pazar,Novi Pazar vs Radnik Surdulica,2025-08-16,0.2315748,0.0382957
A. Cissé,Novi Pazar,Radnički Niš vs Novi Pazar,2025-08-10,0.4395246,0.3022747
A. Cissé,Novi Pazar,Spartak Subotica vs Novi Pazar,2025-08-24,0.3098234,0.0859755
A. Cissé,Čukarički,IMT Novi Beograd vs Čukarički,2025-07-27,0.0909602,-0.011857699999999999
A. Cissé,Čukarički,Čukarički vs Spartak Subotica,2025-08-15,0.1149754,-0.0185275
A. Cvetković,OFK Beograd,Crvena zvezda vs OFK Beograd,2025-07-26,0.2924691,0.0756303
A. Cvetković,OFK Beograd,OFK Beograd vs Javor,2025-08-02,0.147388,-0.0556301
A. Cvetković,OFK Beograd,OFK Beograd vs Mladost Lučani,2025-08-23,0.0413114,-0.044884999999999994
A. Cvetković,OFK Beograd,OFK Beograd vs Spartak Subotica,2025-07-21,0.42417119999999997,0.2060027
A. Cvetković,OFK Beograd,OFK Beograd vs Vojvodina,2025-08-09,0.2702628,0.0959519
A. Cvetković,OFK Beograd,TSC vs OFK Beograd,2025-08-17,0.10599700000000001,0.0097066
A. Cvetković,OFK Beograd,Čukarički vs OFK Beograd,2025-08-29,0.0242601,-0.006635199999999999
A. Damjanović,Crvena zvezda,Crvena zvezda vs TSC,2025-08-09,0.002461,-0.1875644
A. Damjanović,Crvena zvezda,Mladost Lučani vs Crvena zvezda,2025-08-15,0.2930534,0.06271329999999999
A. Hadžimujović,Novi Pazar,Napredak vs Novi Pazar,2025-07-27,0.1618515,0.0350086
A. Hadžimujović,Novi Pazar,Novi Pazar vs Crvena zvezda,2025-08-31,0.1684833,0.1401802
A. Hadžimujović,Novi Pazar,Novi Pazar vs IMT Novi Beograd,2025-08-04,0.2007021,0.0973751
A. Hadžimujović,Novi Pazar,Novi Pazar vs Radnik Surdulica,2025-08-16,0.1048396,0.0637682
A. Hadžimujović,Novi Pazar,Radnički Niš vs Novi Pazar,2025-08-10,0.0728776,0.003795400000000001
A. Hadžimujović,Novi Pazar,Spartak Subotica vs Novi Pazar,2025-08-24,0.0996416,0.029941500000000003
A. Kalulu,Partizan,Partizan vs Radnički Kragujevac,2025-08-03,0.0692594,-0.0013555
A. Kalulu,Partizan,Železničar Pančevo vs Partizan,2025-07-20,0.3123495,-0.019044100000000015
A. Katai,Crvena zvezda,Crvena zvezda vs Javor,2025-07-19,0.6174152,0.1199017
A. Katai,Crvena zvezda,Crvena zvezda vs OFK Beograd,2025-07-26,0.1406327,-0.0717745
A. Katai,Crvena zvezda,Crvena zvezda vs TSC,2025-08-09,0.2978256,0.07788659999999999
A. Katai,Crvena zvezda,Mladost Lučani vs Crvena zvezda,2025-08-15,0.8944468,-0.1517909
A. Katai,Crvena zvezda,Novi Pazar vs Crvena zvezda,2025-08-31,0.6874436,0.10586580000000001
A. Kostić,Partizan,Napredak vs Partizan,2025-08-10,0.20074109999999998,0.0422804
A. Kostić,Partizan,Partizan vs IMT Novi Beograd,2025-08-18,0.0113505,-0.0232121
