player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
J. Rinne,26dlb4txygf7qzukjikr23mxh,Djurgården,czkf5t3ai00ghwbga03i5aqxw,NaN,NaN,Goalkeeper,Centre,NaN,20,NaN,NaN,NaN,18,3,NaN,5,28,22,90,16,7,6,9,4,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Djurgården vs Malmö FF,3o2y5xmw92bfhtfm2wtrtsowk,2025-03-29,8,SWE,Allsvenskan
K. Kosugi,ab3og2sas7q4czd31wbdbnro,Djurgården,czkf5t3ai00ghwbga03i5aqxw,2,NaN,Defender,Left,NaN,36,1,4,3,10,4,1,26,43,15,90,17,3,5,31,15,17,1,NaN,1,1,2,3,2,NaN,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Djurgården vs Malmö FF,3o2y5xmw92bfhtfm2wtrtsowk,2025-03-29,17,SWE,Allsvenskan
M. Danielson,23p0dby12ymf55wwi0xz2fnx1,Djurgården,czkf5t3ai00ghwbga03i5aqxw,3,2,Defender,Left/Centre,NaN,53,NaN,1,NaN,30,2,NaN,27,57,31,90,27,8,3,30,10,11,NaN,1,NaN,1,NaN,NaN,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Djurgården vs Malmö FF,3o2y5xmw92bfhtfm2wtrtsowk,2025-03-29,4,SWE,Allsvenskan
J. Une Larsson,ebhyx7fm13sy9qjf4vylzg89h,Djurgården,czkf5t3ai00ghwbga03i5aqxw,5,4,Defender,Centre/Right,NaN,46,NaN,4,NaN,40,NaN,NaN,12,47,41,77,13,4,2,12,4,4,1,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Djurgården vs Malmö FF,3o2y5xmw92bfhtfm2wtrtsowk,2025-03-29,1,SWE,Allsvenskan
A. Ståhl,bv57jiquzqjnzuxzw5r663aad,Djurgården,czkf5t3ai00ghwbga03i5aqxw,3,NaN,Defender,Right,NaN,39,2,11,8,20,2,1,21,53,27,90,23,13,5,33,13,18,NaN,4,NaN,3,3,7,3,NaN,2,1,1,NaN,2,NaN,1,1,1,NaN,NaN,4231,NaN,Djurgården vs Malmö FF,3o2y5xmw92bfhtfm2wtrtsowk,2025-03-29,35,SWE,Allsvenskan
D. Stensson,bhaqw4112j43c753dlxhy61ud,Djurgården,czkf5t3ai00ghwbga03i5aqxw,7,1,Defensive Midfielder,Left/Centre,NaN,64,NaN,7,11,27,5,NaN,45,70,30,90,25,15,7,54,25,27,2,NaN,3,2,2,6,2,1,2,1,NaN,NaN,2,NaN,NaN,2,2,NaN,NaN,4231,NaN,Djurgården vs Malmö FF,3o2y5xmw92bfhtfm2wtrtsowk,2025-03-29,13,SWE,Allsvenskan
R. Schüller,7pel84swlqfux6obt6lznze1h,Djurgården,czkf5t3ai00ghwbga03i5aqxw,3,NaN,Defensive Midfielder,Centre/Right,NaN,23,NaN,9,2,13,1,NaN,11,28,15,63,12,7,3,14,8,9,1,2,1,1,2,NaN,2,NaN,NaN,NaN,1,1,NaN,NaN,1,1,1,NaN,NaN,4231,NaN,Djurgården vs Malmö FF,3o2y5xmw92bfhtfm2wtrtsowk,2025-03-29,6,SWE,Allsvenskan
O. Fallenius,5t5ib5l818gj98xrztrj0kbca,Djurgården,czkf5t3ai00ghwbga03i5aqxw,3,1,Attacking Midfielder,Left,NaN,15,3,4,4,6,1,2,10,18,7,77,2,3,2,14,8,10,NaN,NaN,NaN,1,NaN,NaN,NaN,2,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Djurgården vs Malmö FF,3o2y5xmw92bfhtfm2wtrtsowk,2025-03-29,8,SWE,Allsvenskan
T. Gulliksen,370kkwnidcltqyooh51z6uzqi,Djurgården,czkf5t3ai00ghwbga03i5aqxw,7,1,Attacking Midfielder,Centre,NaN,31,NaN,5,3,7,2,NaN,24,35,7,88,5,2,3,28,15,19,1,NaN,1,1,NaN,NaN,NaN,1,4,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,4231,NaN,Djurgården vs Malmö FF,3o2y5xmw92bfhtfm2wtrtsowk,2025-03-29,6,SWE,Allsvenskan
P. Åslund,3xughe5ngeamjas70lyheyezu,Djurgården,czkf5t3ai00ghwbga03i5aqxw,2,NaN,Attacking Midfielder,Right,NaN,4,2,2,3,3,NaN,NaN,1,11,5,63,5,NaN,1,8,NaN,4,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Djurgården vs Malmö FF,3o2y5xmw92bfhtfm2wtrtsowk,2025-03-29,12,SWE,Allsvenskan
