id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,endDate,status,active,knownName,placeOfBirth,secondNationality,secondNationalityId
1dy0207jxgg8gvuygsd95wdn8,David,Kjær Kruse,David,Kruse,Male,D. Kruse,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2002-05-15,Denmark,5adf60vwiw2f2mibyq1k4ex7i,185.0,80.0,right,23.0,2020-07-01Z,2023-08-10Z,active,no,NaN,NaN,NaN,NaN
1pburqlek8mrltnblrvucehw4,Mathias,Frederiksen,NaN,NaN,Male,M. Frederiksen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2006-05-06,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,NaN,2024-01-20Z,2024-06-30Z,active,no,NaN,NaN,NaN,NaN
1vvyuyj2q6w73vf9uhbldti7e,Edmilson,Gomes dos Santos,Edmilson,Gomes dos Santos,Male,Edmílson dos Santos,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Midfielder,player,2000-03-20,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,177.0,NaN,right,16.0,2023-07-20Z,2024-01-22Z,active,no,Edmilson dos Santos,Bissau,NaN,NaN
23qknnqc6885diyi50phjss7p,Albert,Ejupi,Albert,Ejupi,Male,A. Ejupi,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,1992-08-28,Sweden,1z6l2c33w2kyz9rdefs1d68nb,191.0,85.0,NaN,8.0,2023-07-15Z,2023-12-31Z,active,no,NaN,Stockholm,Kosovo,86u6edbqifdjsn49mbp2anw7p
266me3mc2giq9nnwn7ymkmymt,Aron,Sigurðarson,Aron,Sigurdarson,Male,Aron Sigurðarson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,1993-10-08,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,177.0,70.0,right,11.0,2021-08-09Z,2024-01-11Z,active,no,Aron Sigurdarson,Reykjavík,NaN,NaN
29y19vqfjkvlc8s9gr5v5atqs,Jashar,Beluli,Jashar,Beluli,Male,J. Beluli,Albania,17zsm8shejejls2on1ffil3op,Midfielder,player,2004-06-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,70.0,left,29.0,2022-03-17Z,2024-06-30Z,active,no,NaN,Aabenraa,NaN,NaN
2h94np282g0qtzal1czznequi,Anders,Nørbo Hoff Nielsen,Anders,Hoff,Male,A. Hoff,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2003-09-04,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,NaN,right,NaN,2023-11-01Z,2024-01-29Z,active,no,NaN,NaN,NaN,NaN
2p9y93r7xfjb71d1bfckcs53p,Oliver,Stanisic,Oliver,Stanisic,Male,O. Stanisic,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1994-02-10,Sweden,1z6l2c33w2kyz9rdefs1d68nb,192.0,NaN,right,2.0,2023-08-30Z,2025-04-24Z,active,no,NaN,NaN,NaN,NaN
2xewnia49fvj3u2x3y8tfq2ju,Simon Michael,Becher,Simon,Becher,Male,S. Becher,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1999-07-20,USA,7hr2f89v44y65dyu9k92vprwn,185.0,85.0,NaN,11.0,2024-01-17Z,2024-07-23Z,active,no,NaN,NaN,NaN,NaN
32wmgvj3oe28rnxn22727tpn8,Claus,Troelsen,NaN,NaN,Male,C. Troelsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1976-05-14,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,NaN,2024-03-15Z,2024-06-30Z,active,no,NaN,NaN,NaN,NaN
