playerName,playerId,contestantId,team_name,9,321,322,label,match_id,date
J. Tuominen,50pntfz4g78co2q68kno332z9,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.020794514566659927,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
Gabriel Bispo,dtp4jarpvexxmwc659ijk68ve,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.08029777556657791,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
D. Smith,8d6e9axgsli468lnomdbcgu6t,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,,0.9241105318069458,0.8561,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
A. Popovitch,74od0bd25ox7cv2sfmebf72s5,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.023329323157668114,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
J. Veteli,a30y638aa4uo6vudqgrcjvpat,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.03792720288038254,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
A. Popovitch,74od0bd25ox7cv2sfmebf72s5,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.028661003336310387,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
Gabriel Bispo,dtp4jarpvexxmwc659ijk68ve,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.04075081646442413,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
A. Popovitch,74od0bd25ox7cv2sfmebf72s5,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.044827964156866074,0.4608,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
A. Sejdiu,udbewp8no8ut63j1nla34ine,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,,0.019131936132907867,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
M. Tamminen,9401ndwivx7fpdplnv57v965m,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,,0.1341128945350647,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
R. Arciero,4xx2q6rxtqukvyshidia12hh,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,,0.023329323157668114,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
D. Smith,8d6e9axgsli468lnomdbcgu6t,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,,0.227170929312706,0.3562,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
T. Jyry,495xdhu4x5bvngu75pel55ko9,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,,0.02715667337179184,0.0899,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
M. Tamminen,9401ndwivx7fpdplnv57v965m,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,,0.0672379583120346,0.2424,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
J. Veteli,a30y638aa4uo6vudqgrcjvpat,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.029886865988373756,0.1094,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
M. Tamminen,9401ndwivx7fpdplnv57v965m,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,,0.032503411173820496,0.3775,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
A. Sejdiu,udbewp8no8ut63j1nla34ine,8eab5wbcnttsiosd1o8c71gmk,Inter Turku,,0.02984989993274212,0.0171,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
A. Vidjeskog,89q9x7p2gfaqti89xc1obr5rd,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.01662563346326351,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
S. Dahlström,u8remrfu8ug41xu71brhukmh,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.06551061570644379,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
A. Popovitch,74od0bd25ox7cv2sfmebf72s5,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.024167098104953766,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
S. Saarinen,c0ijcsbmjfnl0ldvkzqthz0iy,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.021483678370714188,0.0679,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
A. Vidjeskog,89q9x7p2gfaqti89xc1obr5rd,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.03502284362912178,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
J. Veteli,a30y638aa4uo6vudqgrcjvpat,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.05152781680226326,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
A. Vidjeskog,89q9x7p2gfaqti89xc1obr5rd,1c7dv8ays675v9kp6a04sd8pq,KuPS,,0.026642879471182823,0.0171,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05
J. Dunwoody,azqoxcekiz4xo5p95tawvm7zd,ea3yd0dgq6uy6pupkpn17j5xg,SJK,,0.17076072096824646,0.4806,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
