playerName,team_name,318.0,label,date
H. Vetlesen,Club Brugge,0.00001458,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.00000793,Club Brugge vs Mechelen,2024-07-26
H. Vetlesen,Club Brugge,0.0000686,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00004137,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00001679,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00000401,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00001743,Club Brugge vs Mechelen,2024-07-26
S. Mignolet,Club Brugge,0.00000218,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00000554,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00000988,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00001119,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00008659,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00004585,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00011451,Club Brugge vs Mechelen,2024-07-26
A. Nusa,Club Brugge,0.00050867,Club Brugge vs Mechelen,2024-07-26
L. Lauberbach,Mechelen,0.00000982,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00062095,Club Brugge vs Mechelen,2024-07-26
A. Nusa,Club Brugge,0.00220504,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.00003821,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00005181,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.0000546,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00010847,Club Brugge vs Mechelen,2024-07-26
O. De Wolf,Mechelen,0.00000055,Club Brugge vs Mechelen,2024-07-26
S. Walsh,Mechelen,0.00002507,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.00000194,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00001219,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00001382,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00002054,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00000063,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.00001422,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00001421,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00001638,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00000397,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00298406,Club Brugge vs Mechelen,2024-07-26
C. Tzolis,Club Brugge,0.00158676,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00000273,Club Brugge vs Mechelen,2024-07-26
D. Foulon,Mechelen,0.00000063,Club Brugge vs Mechelen,2024-07-26
O. De Wolf,Mechelen,0.00000051,Club Brugge vs Mechelen,2024-07-26
A. Nusa,Club Brugge,0.00001465,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00002061,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00000044,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00007241,Club Brugge vs Mechelen,2024-07-26
O. De Wolf,Mechelen,0.00000151,Club Brugge vs Mechelen,2024-07-26
H. Vetlesen,Club Brugge,0.00007523,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.0002797,Club Brugge vs Mechelen,2024-07-26
O. De Wolf,Mechelen,0.00000062,Club Brugge vs Mechelen,2024-07-26
C. Tzolis,Club Brugge,0.00012039,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00006577,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00000057,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00132105,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00000119,Club Brugge vs Mechelen,2024-07-26
H. Vanaken,Club Brugge,0.00128326,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00000333,Club Brugge vs Mechelen,2024-07-26
H. Vetlesen,Club Brugge,0.00439864,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00000227,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00000614,Club Brugge vs Mechelen,2024-07-26
A. Nusa,Club Brugge,0.02037421,Club Brugge vs Mechelen,2024-07-26
M. Konaté,Mechelen,0.00000512,Club Brugge vs Mechelen,2024-07-26
S. Walsh,Mechelen,0.00000319,Club Brugge vs Mechelen,2024-07-26
H. Vanaken,Club Brugge,0.02413803,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00000654,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00021666,Club Brugge vs Mechelen,2024-07-26
P. Pflücke,Mechelen,0.00359538,Club Brugge vs Mechelen,2024-07-26
G. Nilsson,Club Brugge,0.00326578,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00049891,Club Brugge vs Mechelen,2024-07-26
H. Vanaken,Club Brugge,0.00249897,Club Brugge vs Mechelen,2024-07-26
S. Walsh,Mechelen,0.00081015,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.06716977,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00271022,Club Brugge vs Mechelen,2024-07-26
G. Hairemans,Mechelen,0.00383028,Club Brugge vs Mechelen,2024-07-26
P. Pflücke,Mechelen,0.00167238,Club Brugge vs Mechelen,2024-07-26
G. Hairemans,Mechelen,0.00206414,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00309939,Club Brugge vs Mechelen,2024-07-26
M. Konaté,Mechelen,0.00582055,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.0000003,Club Brugge vs Mechelen,2024-07-26
K. Mrabti,Mechelen,0.00299024,Club Brugge vs Mechelen,2024-07-26
S. Mignolet,Club Brugge,0.00000192,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00000603,Club Brugge vs Mechelen,2024-07-26
P. Pflücke,Mechelen,0.00033829,Club Brugge vs Mechelen,2024-07-26
S. Walsh,Mechelen,0.00090869,Club Brugge vs Mechelen,2024-07-26
R. Onyedika,Club Brugge,0.00000741,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00126329,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.0000096,Club Brugge vs Mechelen,2024-07-26
J. Seys,Club Brugge,0.00002483,Club Brugge vs Mechelen,2024-07-26
G. Hairemans,Mechelen,0.00036218,Club Brugge vs Mechelen,2024-07-26
S. Walsh,Mechelen,0.00070137,Club Brugge vs Mechelen,2024-07-26
H. Vanaken,Club Brugge,0.00001115,Club Brugge vs Mechelen,2024-07-26
P. Pflücke,Mechelen,0.00041238,Club Brugge vs Mechelen,2024-07-26
Z. Romero,Club Brugge,0.00001564,Club Brugge vs Mechelen,2024-07-26
H. Vanaken,Club Brugge,0.0006242,Club Brugge vs Mechelen,2024-07-26
G. Hairemans,Mechelen,0.00014286,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00079041,Club Brugge vs Mechelen,2024-07-26
R. Schoofs,Mechelen,0.00013312,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00005834,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00005528,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00000188,Club Brugge vs Mechelen,2024-07-26
O. De Wolf,Mechelen,0.00000241,Club Brugge vs Mechelen,2024-07-26
H. Vanaken,Club Brugge,0.00143213,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00000305,Club Brugge vs Mechelen,2024-07-26
José Marsà,Mechelen,0.00000247,Club Brugge vs Mechelen,2024-07-26
B. Van den Eynden,Mechelen,0.00000047,Club Brugge vs Mechelen,2024-07-26
S. Mignolet,Club Brugge,0.00000487,Club Brugge vs Mechelen,2024-07-26
O. De Wolf,Mechelen,0.00019464,Club Brugge vs Mechelen,2024-07-26
B. Mechele,Club Brugge,0.00002095,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00009804,Club Brugge vs Mechelen,2024-07-26
A. Nusa,Club Brugge,0.0000258,Club Brugge vs Mechelen,2024-07-26
M. De Cuyper,Club Brugge,0.00006275,Club Brugge vs Mechelen,2024-07-26
