player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date
L. Lezzerini,bgwbowoiz7t2lvpit75zlqz11,a80afp6w8wof6ci633u8k93de,NaN,NaN,Goalkeeper,Centre,NaN,16,NaN,1,NaN,18,NaN,NaN,1,18,20,90,9,1,7,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Brescia vs Palermo,7oxwtk9x5yk9s82cwfw38icyc,2024-08-16
A. Jallow,9x566mdkajzk1isw2sm40t5gp,a80afp6w8wof6ci633u8k93de,3,1,Defender,Left,NaN,21,2,8,1,15,1,2,8,24,16,90,9,1,1,11,3,4,NaN,2,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Brescia vs Palermo,7oxwtk9x5yk9s82cwfw38icyc,2024-08-16
D. Adorni,8t8i69w2kayk1cxu9usv107v9,a80afp6w8wof6ci633u8k93de,2,1,Defender,Left/Centre,NaN,33,NaN,6,NaN,30,2,NaN,9,37,32,90,16,6,4,11,5,6,NaN,4,NaN,2,NaN,NaN,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,1,Brescia vs Palermo,7oxwtk9x5yk9s82cwfw38icyc,2024-08-16
A. Cistana,b58czkkuvvno02lnxzalf7mjt,a80afp6w8wof6ci633u8k93de,3,NaN,Defender,Centre/Right,NaN,44,NaN,3,NaN,27,1,NaN,20,46,27,90,27,9,3,22,10,11,1,1,1,2,NaN,NaN,NaN,1,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Brescia vs Palermo,7oxwtk9x5yk9s82cwfw38icyc,2024-08-16
L. Dickmann,2hvo0y7v3ot6560ft65yst2ad,a80afp6w8wof6ci633u8k93de,5,NaN,Defender,Right,NaN,25,3,4,6,10,4,2,17,36,14,90,11,6,6,26,10,15,NaN,1,1,2,2,4,2,NaN,3,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Brescia vs Palermo,7oxwtk9x5yk9s82cwfw38icyc,2024-08-16
M. Bertagnoli,5xz06g6vwwcj2obolarumk4mi,a80afp6w8wof6ci633u8k93de,2,NaN,Midfielder,Left,NaN,7,NaN,4,2,4,1,NaN,4,13,6,78,5,3,1,9,2,5,NaN,3,NaN,NaN,1,2,1,2,3,2,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,442,NaN,Brescia vs Palermo,7oxwtk9x5yk9s82cwfw38icyc,2024-08-16
M. Verreth,75o7fx1uwk6pavxbnqqx28y51,a80afp6w8wof6ci633u8k93de,2,NaN,Midfielder,Left/Centre,NaN,30,NaN,3,2,17,1,NaN,16,32,17,90,11,8,1,18,10,11,1,2,3,NaN,1,1,1,2,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,442,NaN,Brescia vs Palermo,7oxwtk9x5yk9s82cwfw38icyc,2024-08-16
D. Bisoli,5k2wmrs7d109s6xvig80tsb85,a80afp6w8wof6ci633u8k93de,2,NaN,Midfielder,Centre/Right,NaN,22,NaN,6,2,11,3,NaN,11,33,17,90,23,4,7,16,7,11,1,NaN,1,4,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Brescia vs Palermo,7oxwtk9x5yk9s82cwfw38icyc,2024-08-16
N. Galazzi,8c5btf6abhx9cxkew943d08wk,a80afp6w8wof6ci633u8k93de,4,1,Midfielder,Right,NaN,20,NaN,7,6,10,2,NaN,12,24,11,83,6,5,5,17,8,12,2,1,3,3,NaN,1,NaN,1,3,1,NaN,NaN,1,1,NaN,1,1,NaN,NaN,442,NaN,Brescia vs Palermo,7oxwtk9x5yk9s82cwfw38icyc,2024-08-16
G. Olzer,f57k7204muayazzwnf4ra46zu,a80afp6w8wof6ci633u8k93de,2,NaN,Striker,Left/Centre,NaN,10,NaN,3,1,6,1,NaN,4,15,7,77,7,2,5,10,3,6,1,1,1,2,NaN,2,NaN,NaN,1,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Brescia vs Palermo,7oxwtk9x5yk9s82cwfw38icyc,2024-08-16
