playerName,team_name,label,date,318.0
A. Abdullahi,Gent II,Beveren vs Gent II,2025-08-29,0.10366797000000001
A. Abdullahi,Gent II,Gent II vs Anderlecht II,2025-08-16,0.57294454
A. Abdullahi,Gent II,Gent II vs Beerschot,2025-08-22,0.009891180000000001
A. Abdullahi,Gent II,Olympic Charleroi vs Gent II,2025-08-08,0.10980561999999999
A. Abdullahi,Gent II,Seraing vs Gent II,2025-09-20,0.02241042
A. Ali Abdallah,Francs Borains,Beerschot vs Francs Borains,2025-09-20,0.00726422
A. Ali Abdallah,Francs Borains,Club Brugge II vs Francs Borains,2025-08-10,0.05659654
A. Ali Abdallah,Francs Borains,Francs Borains vs Eupen,2025-09-13,0.03026243
A. Ali Abdallah,Francs Borains,Francs Borains vs Lommel,2025-08-23,0.02365955
A. Ali Abdallah,Francs Borains,Francs Borains vs Patro Eisden,2025-08-15,0.00294813
A. Ali Abdallah,Francs Borains,Francs Borains vs Seraing,2025-09-23,0.08805783999999998
A. Ali Abdallah,Francs Borains,Kortrijk vs Francs Borains,2025-08-29,0.0014395900000000001
A. Arslan,Liège,Club Brugge II vs Liège,2025-09-13,1.997e-05
A. Arslan,Liège,Liège vs Anderlecht II,2025-09-20,0.03774092
A. Arslan,Liège,Liège vs Beveren,2025-09-24,0.0
A. Arslan,Liège,Liège vs Patro Eisden,2025-08-30,0.038835299999999996
A. Arslan,Liège,Lokeren vs Liège,2025-08-23,0.0
A. Ayindé,Gent II,Beveren vs Gent II,2025-08-29,0.07061953
A. Ayindé,Gent II,Gent II vs Anderlecht II,2025-08-16,0.34237239
A. Ayindé,Gent II,Gent II vs Beerschot,2025-08-22,0.04116562
A. Ayindé,Gent II,Olympic Charleroi vs Gent II,2025-08-08,0.051854769999999994
A. Ba,Seraing,Francs Borains vs Seraing,2025-09-23,9.602e-05
A. Ba,Seraing,KRC Genk II vs Seraing,2025-08-23,0.01992406
A. Ba,Seraing,RWDM Brussels vs Seraing,2025-09-14,0.00209885
A. Ba,Seraing,Seraing vs Gent II,2025-09-20,0.01506793
A. Ba,Seraing,Seraing vs Olympic Charleroi,2025-08-30,0.21212055999999999
A. Barry,KRC Genk II,Club Brugge II vs KRC Genk II,2025-08-31,4.37e-06
A. Barry,KRC Genk II,KRC Genk II vs Seraing,2025-08-23,0.031468249999999996
A. Bibout,KRC Genk II,Club Brugge II vs KRC Genk II,2025-08-31,0.03393571
A. Bibout,KRC Genk II,KRC Genk II vs Beerschot,2025-09-23,0.22512812
A. Bibout,KRC Genk II,KRC Genk II vs Kortrijk,2025-09-13,0.01654505
A. Bibout,KRC Genk II,KRC Genk II vs Seraing,2025-08-23,0.01091548
A. Bibout,KRC Genk II,Lommel vs KRC Genk II,2025-09-19,0.06571823
A. Bongiovanni,Seraing,RWDM Brussels vs Seraing,2025-09-14,0.014765829999999999
A. Bongiovanni,Seraing,Seraing vs Beerschot,2025-08-08,0.00286889
A. Bongiovanni,Seraing,Seraing vs Gent II,2025-09-20,0.01908245
A. Bongiovanni,Seraing,Seraing vs Olympic Charleroi,2025-08-30,0.00686394
A. Brrou,Lokeren,Beveren vs Lokeren,2025-09-21,0.03335611
A. Brrou,Lokeren,Lokeren vs Eupen,2025-09-24,0.57611573
A. Brrou,Lokeren,Lokeren vs Lierse K,2025-09-12,0.12793226
A. Brrou,Lokeren,Lokeren vs Liège,2025-08-23,0.07555328
A. Brrou,Lokeren,Lokeren vs RWDM Brussels,2025-08-16,0.04130852
A. Brrou,Lokeren,Lommel vs Lokeren,2025-08-30,0.47079054
A. Brrou,Lokeren,Patro Eisden vs Lokeren,2025-08-09,0.13167647999999998
A. Camara,KRC Genk II,Club Brugge II vs KRC Genk II,2025-08-31,0.016211839999999998
A. Camara,KRC Genk II,KRC Genk II vs Beerschot,2025-09-23,5.163e-05
A. Camara,KRC Genk II,KRC Genk II vs Kortrijk,2025-09-13,0.0021374000000000002
A. Dacosta,Anderlecht II,Liège vs Anderlecht II,2025-09-20,0.00019242
A. Dacosta,Anderlecht II,Olympic Charleroi vs Anderlecht II,2025-09-23,0.00827979
A. De Corte,Club Brugge II,Club Brugge II vs Francs Borains,2025-08-10,0.00169874
A. De Corte,Club Brugge II,Club Brugge II vs KRC Genk II,2025-08-31,0.03363276
