playerName,team_name,label,date,possessionValue.pvValue,possessionValue.pvAdded
A. Abdullahi,Górnik Zabrze,Pogoń Szczecin vs Górnik Zabrze,2025-08-17,0.0058373,-0.09528560000000001
A. Buksa,GKS Katowice,GKS Katowice vs Raków Częstochowa,2025-07-19,0.002005,-0.0029939999999999997
A. Buksa,GKS Katowice,GKS Katowice vs Zagłębie Lubin,2025-07-28,0.1222471,0.021240000000000002
A. Buksa,GKS Katowice,Górnik Zabrze vs GKS Katowice,2025-08-23,0.1666858,0.022556199999999995
A. Buksa,GKS Katowice,Widzew Łódź vs GKS Katowice,2025-08-02,0.0154323,-0.0025998
A. Błąd,GKS Katowice,GKS Katowice vs Arka Gdynia,2025-08-16,0.2265372,0.043842
A. Błąd,GKS Katowice,GKS Katowice vs Cracovia,2025-09-19,0.3398585,-0.0633401
A. Błąd,GKS Katowice,GKS Katowice vs Lech Poznań,2025-10-05,0.0031955,0.0031955
A. Błąd,GKS Katowice,GKS Katowice vs Radomiak Radom,2025-08-29,0.0227653,-0.004275900000000001
A. Błąd,GKS Katowice,GKS Katowice vs Raków Częstochowa,2025-07-19,0.2898619,-0.1128951
A. Błąd,GKS Katowice,GKS Katowice vs Zagłębie Lubin,2025-07-28,0.1496043,0.0813577
A. Błąd,GKS Katowice,Górnik Zabrze vs GKS Katowice,2025-08-23,0.1063314,0.003347999999999998
A. Błąd,GKS Katowice,Lechia Gdańsk vs GKS Katowice,2025-09-12,0.281515,0.0716346
A. Błąd,GKS Katowice,Legia Warszawa vs GKS Katowice,2025-08-10,0.2869833,0.004574900000000005
A. Błąd,GKS Katowice,Wisła Płock vs GKS Katowice,2025-09-26,0.0092623,-0.0274745
A. Czerwiński,GKS Katowice,GKS Katowice vs Arka Gdynia,2025-08-16,0.1605638,0.1109283
A. Czerwiński,GKS Katowice,GKS Katowice vs Cracovia,2025-09-19,0.6357435,0.06275149999999999
A. Czerwiński,GKS Katowice,GKS Katowice vs Lech Poznań,2025-10-05,0.2455409,0.04578259999999999
A. Czerwiński,GKS Katowice,GKS Katowice vs Radomiak Radom,2025-08-29,0.2192016,0.0616399
A. Czerwiński,GKS Katowice,GKS Katowice vs Raków Częstochowa,2025-07-19,0.1674451,0.023521600000000004
A. Czerwiński,GKS Katowice,GKS Katowice vs Zagłębie Lubin,2025-07-28,0.3466338,-0.0702276
A. Czerwiński,GKS Katowice,Lechia Gdańsk vs GKS Katowice,2025-09-12,0.5545297,0.2741388
A. Czerwiński,GKS Katowice,Legia Warszawa vs GKS Katowice,2025-08-10,0.2205829,0.1232332
A. Czerwiński,GKS Katowice,Widzew Łódź vs GKS Katowice,2025-08-02,0.2067293,-0.0335432
A. Douglas,Lech Poznań,Lech Poznań vs Cracovia,2025-07-18,0.2040143,0.045363799999999996
A. Douglas,Lech Poznań,Lech Poznań vs Widzew Łódź,2025-08-31,0.0159975,0.00387
A. Douglas,Lech Poznań,Nieciecza vs Lech Poznań,2025-09-20,0.1459254,0.0409194
A. Douglas,Lech Poznań,Raków Częstochowa vs Lech Poznań,2025-09-24,0.1374205,0.0544942
A. Edmundsson,Wisła Płock,Arka Gdynia vs Wisła Płock,2025-08-29,0.6431904,0.20333620000000002
A. Edmundsson,Wisła Płock,Lechia Gdańsk vs Wisła Płock,2025-10-03,0.173737,-0.0179587
A. Edmundsson,Wisła Płock,Raków Częstochowa vs Wisła Płock,2025-07-27,0.0650466,-0.0165159
A. Edmundsson,Wisła Płock,Widzew Łódź vs Wisła Płock,2025-08-09,0.1157605,0.041136400000000004
A. Edmundsson,Wisła Płock,Wisła Płock vs GKS Katowice,2025-09-26,0.1171538,0.0327582
A. Edmundsson,Wisła Płock,Wisła Płock vs Jagiellonia Białystok,2025-09-19,0.2219634,0.056074399999999996
A. Edmundsson,Wisła Płock,Wisła Płock vs Korona Kielce,2025-07-19,0.3497362,0.1734465
A. Edmundsson,Wisła Płock,Wisła Płock vs Legia Warszawa,2025-08-17,0.07868649999999999,0.019824099999999997
A. Edmundsson,Wisła Płock,Wisła Płock vs Piast Gliwice,2025-08-01,0.0985048,0.0488329
A. Edmundsson,Wisła Płock,Wisła Płock vs Zagłębie Lubin,2025-08-25,0.37689670000000003,0.0981616
A. Gholizadeh,Lech Poznań,Lech Poznań vs Górnik Zabrze,2025-08-02,0.36273510000000003,0.0994938
A. Gholizadeh,Lech Poznań,Lechia Gdańsk vs Lech Poznań,2025-07-26,0.0439096,-0.0037123
A. Hasić,Cracovia,Cracovia vs Lechia Gdańsk,2025-08-03,0.3255909,0.1389291
A. Hasić,Cracovia,Cracovia vs Nieciecza,2025-07-25,0.4335138,0.09230390000000001
A. Hasić,Cracovia,Lech Poznań vs Cracovia,2025-07-18,0.1154738,0.043155799999999994
A. Jackson,Jagiellonia Białystok,Jagiellonia Białystok vs Cracovia,2025-08-10,0.36358630000000003,0.168136
A. Jackson,Jagiellonia Białystok,Jagiellonia Białystok vs Lechia Gdańsk,2025-08-31,0.07535320000000001,0.0017980000000000006
A. Jackson,Jagiellonia Białystok,Jagiellonia Białystok vs Widzew Łódź,2025-07-27,0.47415419999999997,0.2066029
A. Jackson,Jagiellonia Białystok,Lech Poznań vs Jagiellonia Białystok,2025-09-28,0.09802330000000001,0.0438431
A. Jackson,Jagiellonia Białystok,Piast Gliwice vs Jagiellonia Białystok,2025-09-13,0.16996740000000002,0.07612
A. Jackson,Jagiellonia Białystok,Radomiak Radom vs Jagiellonia Białystok,2025-08-17,0.0,0.0
A. Jaunzems,Lechia Gdańsk,Cracovia vs Lechia Gdańsk,2025-08-03,0.27879760000000003,0.1077745
A. Jaunzems,Lechia Gdańsk,Górnik Zabrze vs Lechia Gdańsk,2025-07-20,0.2204118,0.007978400000000002
A. Jaunzems,Lechia Gdańsk,Jagiellonia Białystok vs Lechia Gdańsk,2025-08-31,0.2791135,0.049236
A. Jaunzems,Lechia Gdańsk,Lechia Gdańsk vs Arka Gdynia,2025-08-24,0.4441826,0.2056427
A. Jaunzems,Lechia Gdańsk,Lechia Gdańsk vs GKS Katowice,2025-09-12,0.1026235,0.061446799999999996
A. Jaunzems,Lechia Gdańsk,Lechia Gdańsk vs Lech Poznań,2025-07-26,0.1990569,0.0844628
A. Jaunzems,Lechia Gdańsk,Lechia Gdańsk vs Motor Lublin,2025-08-11,0.3700618,0.1598136
A. Jaunzems,Lechia Gdańsk,Pogoń Szczecin vs Lechia Gdańsk,2025-09-21,0.0096416,0.0023358000000000003
A. Jaunzems,Lechia Gdańsk,Zagłębie Lubin vs Lechia Gdańsk,2025-08-15,0.1658355,0.060893800000000005
A. Jędrych,GKS Katowice,GKS Katowice vs Arka Gdynia,2025-08-16,0.1612552,0.0990746
A. Jędrych,GKS Katowice,GKS Katowice vs Cracovia,2025-09-19,0.2089201,0.0689343
A. Jędrych,GKS Katowice,GKS Katowice vs Lech Poznań,2025-10-05,0.1057993,0.0234694
A. Jędrych,GKS Katowice,GKS Katowice vs Radomiak Radom,2025-08-29,0.2273702,0.1051354
A. Jędrych,GKS Katowice,GKS Katowice vs Raków Częstochowa,2025-07-19,0.1157706,0.0538777
A. Jędrych,GKS Katowice,GKS Katowice vs Zagłębie Lubin,2025-07-28,0.1165996,0.04598409999999999
A. Jędrych,GKS Katowice,Górnik Zabrze vs GKS Katowice,2025-08-23,0.1096625,-0.0165132
A. Jędrych,GKS Katowice,Lechia Gdańsk vs GKS Katowice,2025-09-12,0.38417049999999997,-0.1687956
A. Jędrych,GKS Katowice,Legia Warszawa vs GKS Katowice,2025-08-10,0.0899292,-0.021957999999999995
A. Jędrych,GKS Katowice,Widzew Łódź vs GKS Katowice,2025-08-02,0.1253897,0.0444549
A. Jędrych,GKS Katowice,Wisła Płock vs GKS Katowice,2025-09-26,0.1449737,0.075699
A. Jędrzejczyk,Legia Warszawa,Cracovia vs Legia Warszawa,2025-08-31,0.22955260000000002,0.10804020000000002
A. Jędrzejczyk,Legia Warszawa,Korona Kielce vs Legia Warszawa,2025-07-27,0.0340248,0.0228132
A. Jędrzejczyk,Legia Warszawa,Legia Warszawa vs Arka Gdynia,2025-08-03,0.3552576,0.1200155
A. Jędrzejczyk,Legia Warszawa,Legia Warszawa vs GKS Katowice,2025-08-10,0.1224505,0.0355763
A. Kalandadze,Wisła Płock,Raków Częstochowa vs Wisła Płock,2025-07-27,0.0856605,0.0152847
A. Kalandadze,Wisła Płock,Widzew Łódź vs Wisła Płock,2025-08-09,0.1079718,0.0225647
A. Kalandadze,Wisła Płock,Wisła Płock vs Jagiellonia Białystok,2025-09-19,0.1408692,0.1255202
A. Kalandadze,Wisła Płock,Wisła Płock vs Korona Kielce,2025-07-19,0.09126580000000001,-0.014068700000000002
A. Kalandadze,Wisła Płock,Wisła Płock vs Legia Warszawa,2025-08-17,0.001296,0.0
A. Kalandadze,Wisła Płock,Wisła Płock vs Piast Gliwice,2025-08-01,0.200021,0.0818334
A. Kasperkiewicz,Nieciecza,Cracovia vs Nieciecza,2025-07-25,0.2418402,0.10235810000000001
A. Kasperkiewicz,Nieciecza,Górnik Zabrze vs Nieciecza,2025-08-08,0.0961919,0.0239917
A. Kasperkiewicz,Nieciecza,Jagiellonia Białystok vs Nieciecza,2025-07-18,0.159094,0.0821987
A. Kasperkiewicz,Nieciecza,Nieciecza vs Lech Poznań,2025-09-20,0.1349158,-0.0241868
A. Kasperkiewicz,Nieciecza,Nieciecza vs Pogoń Szczecin,2025-08-02,0.0801269,0.028790200000000002
A. Kasperkiewicz,Nieciecza,Nieciecza vs Raków Częstochowa,2025-08-17,0.1109195,0.06549569999999999
A. Kasperkiewicz,Nieciecza,Nieciecza vs Widzew Łódź,2025-10-04,0.1670437,0.038991
A. Kasperkiewicz,Nieciecza,Piast Gliwice vs Nieciecza,2025-09-27,0.7799289,0.5334312999999999
A. Klukowski,Widzew Łódź,Cracovia vs Widzew Łódź,2025-08-15,0.0041292,0.0041292
A. Klukowski,Widzew Łódź,Lech Poznań vs Widzew Łódź,2025-08-31,0.0851356,-0.0743259
A. Klukowski,Widzew Łódź,Widzew Łódź vs GKS Katowice,2025-08-02,0.0171163,-0.0013377
A. Klukowski,Widzew Łódź,Widzew Łódź vs Pogoń Szczecin,2025-08-22,0.0003829,0.0003829
A. Konstantopoulos,Raków Częstochowa,Nieciecza vs Raków Częstochowa,2025-08-17,0.31418060000000003,0.1128149
A. Konstantopoulos,Raków Częstochowa,Radomiak Radom vs Raków Częstochowa,2025-08-03,0.3132293,0.033929999999999995
