playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
A. Abid,Patro Eisden,Lokeren-Temse vs Patro Eisden,0.7618375000000001,0.2778972
A. Abid,Patro Eisden,Patro Eisden vs Club Brugge II,0.7574563,0.3691039
A. Abid,Patro Eisden,Patro Eisden vs Deinze,0.3893445,0.3092391
A. Abid,Patro Eisden,Patro Eisden vs Francs Borains,0.5650393,0.2916892
A. Abid,Patro Eisden,Patro Eisden vs RSC Anderlecht II,0.9972554,0.6386195
A. Abid,Patro Eisden,Patro Eisden vs Zulte Waregem,0.7876571,0.43807609999999997
A. Abid,Patro Eisden,RAAL La Louvière vs Patro Eisden,0.2231121,0.018120399999999995
A. Abid,Patro Eisden,RFC Seraing vs Patro Eisden,1.1411606,0.5051589
A. Abid,Patro Eisden,RWDM vs Patro Eisden,0.4046284,0.2744399
A. Arslan,Liège,Francs Borains vs Liège,0.0827751,-0.0423225
A. Arslan,Liège,KRC Genk II vs Liège,0.5897981,0.3809239
A. Arslan,Liège,Liège vs AS Eupen,0.3344663,0.1394197
A. Arslan,Liège,Liège vs Club Brugge II,0.1109367,0.008798899999999998
A. Arslan,Liège,Liège vs Lommel,0.063137,-0.0053209
A. Arslan,Liège,Liège vs RSC Anderlecht II,0.0,0.0
A. Arslan,Liège,Liège vs SK Beveren,0.1723197,0.06397570000000001
A. Arslan,Liège,RFC Seraing vs Liège,0.2423426,0.056753399999999996
A. Arslan,Liège,Zulte Waregem vs Liège,0.5249727,0.3066688
A. Awudu,RWDM,RWDM vs Zulte Waregem,0.0,0.0
A. Barkarson,Zulte Waregem,AS Eupen vs Zulte Waregem,0.4200413,0.11186180000000001
A. Barkarson,Zulte Waregem,Deinze vs Zulte Waregem,0.3848967,0.02781290000000001
A. Barkarson,Zulte Waregem,Patro Eisden vs Zulte Waregem,0.2207648,0.1140918
A. Barkarson,Zulte Waregem,RSC Anderlecht II vs Zulte Waregem,0.6267362,0.007358000000000009
A. Barkarson,Zulte Waregem,RWDM vs Zulte Waregem,0.2408553,0.075135
A. Barkarson,Zulte Waregem,Zulte Waregem vs Club Brugge II,0.2240805,0.1099441
A. Barkarson,Zulte Waregem,Zulte Waregem vs Francs Borains,0.3682811,-0.37943669999999996
A. Barkarson,Zulte Waregem,Zulte Waregem vs Liège,0.475186,0.1235613
A. Barkarson,Zulte Waregem,Zulte Waregem vs Lokeren-Temse,0.4783875,0.18871659999999998
A. Barry,KRC Genk II,KRC Genk II vs Lommel,0.060996,0.015229399999999999
A. Bongiovanni,RAAL La Louvière,Deinze vs RAAL La Louvière,0.13400030000000002,-0.0233062
A. Bongiovanni,RAAL La Louvière,Francs Borains vs RAAL La Louvière,0.6118051,0.2775168
A. Bongiovanni,RAAL La Louvière,Lierse K vs RAAL La Louvière,0.0463996,-0.0347749
A. Bongiovanni,RAAL La Louvière,RAAL La Louvière vs Lokeren-Temse,0.7099914,0.3065018
A. Bongiovanni,RAAL La Louvière,RAAL La Louvière vs Patro Eisden,0.236332,0.0565015
A. Bongiovanni,RAAL La Louvière,RSC Anderlecht II vs RAAL La Louvière,0.3795479,0.1095781
A. Caicedo,KRC Genk II,AS Eupen vs KRC Genk II,0.1351,-0.0072499
A. Caicedo,KRC Genk II,KRC Genk II vs Francs Borains,0.0759806,0.018223000000000003
A. Caicedo,KRC Genk II,KRC Genk II vs Liège,0.3820809,0.0717661
A. Caicedo,KRC Genk II,KRC Genk II vs Lommel,0.0985369,-0.1282509
A. Caicedo,KRC Genk II,KRC Genk II vs RWDM,0.3338714,0.1625721
A. Caicedo,KRC Genk II,RFC Seraing vs KRC Genk II,0.3405036,0.1374745
A. Caicedo,KRC Genk II,SK Beveren vs KRC Genk II,0.0,0.0
A. Cascio,Liège,Francs Borains vs Liège,0.1105317,0.0495754
A. Cascio,Liège,Liège vs Club Brugge II,1.0233541,0.5216542
A. Cascio,Liège,Liège vs Lommel,0.0971151,-0.06123510000000001
A. Cascio,Liège,RFC Seraing vs Liège,0.10818799999999999,0.019709200000000007
A. Cascio,Liège,Zulte Waregem vs Liège,0.1313918,0.0695887
A. Cassaert,Lokeren-Temse,Club Brugge II vs Lokeren-Temse,0.1831818,-0.06587969999999999
A. Cassaert,Lokeren-Temse,Lokeren-Temse vs Francs Borains,0.1054816,0.0342007
A. Cassaert,Lokeren-Temse,Lokeren-Temse vs Patro Eisden,0.0028573,0.0005452
A. Cassaert,Lokeren-Temse,Lokeren-Temse vs RFC Seraing,0.0530229,-0.0280716
A. Cassaert,Lokeren-Temse,RAAL La Louvière vs Lokeren-Temse,0.12211860000000001,0.08237169999999999
A. Cassaert,Lokeren-Temse,Zulte Waregem vs Lokeren-Temse,0.1502152,0.009011900000000002
A. Conte,RSC Anderlecht II,KRC Genk II vs RSC Anderlecht II,0.0239785,-0.0006358000000000006
A. Corryn,SK Beveren,AS Eupen vs SK Beveren,0.1332524,0.0497898
A. Corryn,SK Beveren,Club Brugge II vs SK Beveren,0.3495221,0.1522398
A. Corryn,SK Beveren,Liège vs SK Beveren,0.3379807,0.08837819999999999
A. Corryn,SK Beveren,RAAL La Louvière vs SK Beveren,0.1939995,0.060547199999999995
A. Corryn,SK Beveren,SK Beveren vs KRC Genk II,0.0,0.0
A. Corryn,SK Beveren,SK Beveren vs Lokeren-Temse,0.568405,0.22844440000000002
A. Corryn,SK Beveren,SK Beveren vs Lommel,0.0993197,-0.030530799999999997
A. Corryn,SK Beveren,SK Beveren vs RFC Seraing,0.2351985,-0.10217030000000002
A. Curci,Francs Borains,Francs Borains vs Liège,0.5715191,0.1896182
A. Curci,Francs Borains,Francs Borains vs Lommel,0.2829668,-0.004532600000000002
A. Curci,Francs Borains,Francs Borains vs RAAL La Louvière,0.3366799,0.31975770000000003
A. Curci,Francs Borains,Francs Borains vs RWDM,0.1923488,0.0949069
